FindingID,ReviewID,Protocol,InterventionID,Intervention_Name,Comparison,OutcomeMeasureID,Outcome_Measure,Outcome_Domain,Period,Sample_Description,Is_Subgroup,Outcome_Sample_Size,Outcome_Measure_Intervention_Sample_Size,Outcome_Measure_Comparison_Sample_Size,Intervention_Clusters_Sample_Size,Comparison_Clusters_Sample_Size,Intervention_Mean,Comparison_Mean,Intervention_Standard_Deviation,Comparison_Standard_Deviation,Effect_Size_Study,Effect_Size_WWC,Improvement_Index,p_Value_Study,p_Value_WWC,ICC,Clusters_Total,Is_Statistically_Significant,Finding_Rating,ESSA_Rating,L1_Unit_of_Analysis,FavorableUnfavorableDesignation
1,50931,Character Education,252,Too Good for Drugs and Violence (TGFD & V),Business as usual,596,Perceptions of social and resistance skills,"Knowledge, attitudes, & values",,Grades 9 - 12,False,200,100,100,,,4.07,3.73,0.56,0.67,0.56,0.54855948010502,21,,0.000104408527314082,,,True,,Evidence Tier 3,Student,
2,50931,Character Education,252,Too Good for Drugs and Violence (TGFD & V),Business as usual,590,Perception of emotional competence,"Knowledge, attitudes, & values",,Grades 9 - 12,False,200,100,100,,,4.09,3.79,0.52,0.59,0.55,0.537422858483336,21,,0.000137112106387671,,,True,,Evidence Tier 3,Student,
3,50931,Character Education,252,Too Good for Drugs and Violence (TGFD & V),Business as usual,599,Positive attitudes towards non-violence,"Knowledge, attitudes, & values",,Grades 9 - 12,False,200,100,100,,,3.97,3.55,0.77,0.78,0.54,0.539868867321612,21,,0.000179389617958159,,,True,,Evidence Tier 3,Student,
4,50931,Character Education,252,Too Good for Drugs and Violence (TGFD & V),Business as usual,592,Perceptions of assertiveness/efficacy skills,"Knowledge, attitudes, & values",,Grades 9 - 12,False,200,100,100,,,4.17,3.98,0.72,0.73,0.26,0.261068816607208,10,,0.0674825146728908,,,False,,,Student,
5,50931,Character Education,252,Too Good for Drugs and Violence (TGFD & V),Business as usual,595,Perceptions of parental negative attitudes towards substance use,"Knowledge, attitudes, & values",,Grades 9 - 12,False,200,100,100,,,3.76,3.33,0.72,0.86,0.55,0.54012324333627,21,,0.000137112106387671,,,True,,Evidence Tier 3,Student,
6,50931,Character Education,252,Too Good for Drugs and Violence (TGFD & V),Business as usual,578,Intentions for marijuana (no intentions),"Knowledge, attitudes, & values",,Grades 9 - 12,False,138,69,69,,,,,,,0.44,,17,,0.0108006467139417,,,True,,Evidence Tier 3,Student,
7,50931,Character Education,252,Too Good for Drugs and Violence (TGFD & V),Business as usual,576,Intentions for fighting (no intentions),"Knowledge, attitudes, & values",,Grades 9 - 12,False,128,64,64,,,,,,,0.47,,18,,0.00885333474327887,,,True,,Evidence Tier 3,Student,
9,50932,Character Education,252,Too Good for Drugs and Violence (TGFD & V),Business as usual,596,Perceptions of social and resistance skills,"Knowledge, attitudes, & values",,Grades 9 - 12,False,302,151,151,,,4.08,3.77,0.58,0.61,0.52,0.519539725932417,20,,8.97592977211481E-06,,,True,,Evidence Tier 3,Student,
10,50932,Character Education,252,Too Good for Drugs and Violence (TGFD & V),Business as usual,593,Perceptions of emotional competence,"Knowledge, attitudes, & values",,Grades 9 - 12,False,302,151,151,,,4.04,3.72,0.62,0.65,0.5,0.502535926359646,19,,1.91231859044683E-05,,,True,,Evidence Tier 3,Student,
11,50932,Character Education,252,Too Good for Drugs and Violence (TGFD & V),Business as usual,598,Positive attitudes towards nonviolence,"Knowledge, attitudes, & values",,Grades 9 - 12,False,302,151,151,,,3.78,3.52,0.79,0.78,0.33,0.330374773490602,13,,0.00443184636830818,,,True,,Evidence Tier 3,Student,
12,50932,Character Education,252,Too Good for Drugs and Violence (TGFD & V),Business as usual,591,Perceptions of assertiveness and efficacy,"Knowledge, attitudes, & values",,Grades 9 - 12,False,302,151,151,,,4.18,3.94,0.7,0.89,0.29,0.29900419811687,11,,0.0122602221632536,,,True,,Evidence Tier 3,Student,
13,50932,Character Education,252,Too Good for Drugs and Violence (TGFD & V),Business as usual,594,Perceptions of goal setting and decisionmaking skills,"Knowledge, attitudes, & values",,Grades 9 - 12,False,302,151,151,,,3.59,3.43,0.93,0.82,0.18,0.182040350678591,7,,0.118863966897881,,,False,,,Student,
14,50932,Character Education,252,Too Good for Drugs and Violence (TGFD & V),Business as usual,578,Intentions for marijuana (no intentions),"Knowledge, attitudes, & values",,Grades 9 - 12,False,196,98,98,,,,,,,0.47,,18,,0.00118890624654289,,,True,,Evidence Tier 3,Student,
15,50932,Character Education,252,Too Good for Drugs and Violence (TGFD & V),Business as usual,576,Intentions for fighting (no intentions),"Knowledge, attitudes, & values",,Grades 9 - 12,False,150,75,75,,,,,,,0.13,,5,,0.42724962628844,,,False,,,Student,
17,50937,Character Education,251,Too Good for Drugs (TGFD),Business as usual,575,Intentions for drinking,"Knowledge, attitudes, & values",Follow-up,Grade 6,False,6,3,3,,,,,,,0.18,,7,,0.834236409535118,,,False,,,Student,
18,50937,Character Education,251,Too Good for Drugs (TGFD),Business as usual,577,Intentions for marijuana,"Knowledge, attitudes, & values",Follow-up,Grade 6,False,6,3,3,,,,,,,0.23,,9,,0.789466762673774,,,False,,,Student,
19,50937,Character Education,251,Too Good for Drugs (TGFD),Business as usual,605,Resistance skills,"Knowledge, attitudes, & values",Follow-up,Grade 6,False,6,3,3,,,4.36,4.15,0.75,0.82,0.27,0.213800336419154,11,,0.754292663220877,,,False,,,Student,
20,50937,Character Education,251,Too Good for Drugs (TGFD),Business as usual,589,Peers disapprove use,"Knowledge, attitudes, & values",Follow-up,Grade 6,False,6,3,3,,,3.73,3.47,0.98,1.07,0.26,0.202731548478738,10,,0.763027272043158,,,False,,,Student,
21,50937,Character Education,251,Too Good for Drugs (TGFD),Business as usual,600,Prosocial peers,"Knowledge, attitudes, & values",Follow-up,Grade 6,False,6,3,3,,,4.58,4.5,0.74,0.86,0.1,0.0797759447910766,4,,0.907293682850879,,,False,,,Student,
22,50937,Character Education,251,Too Good for Drugs (TGFD),Business as usual,579,Locus of control,"Knowledge, attitudes, & values",Follow-up,Grade 6,False,6,3,3,,,4.37,4.25,0.63,0.72,0.18,0.141907222450718,7,,0.834236409535118,,,False,,,Student,
24,50933,Character Education,250,Too Good For Violence (TGFV),None,307,Teacher checklist of Student Behaviors- Total score,Behavior,20 week follow-up,Grade 3,False,998,499,499,,,4.17,3.86,0.16,0.82,0.47,0.524350571901239,18,,1.1829426327381E-12,,,True,,Evidence Tier 3,Student,
26,50933,Character Education,250,Too Good For Violence (TGFV),None,617,Student Protective Factor Survey- Total score,"Knowledge, attitudes, & values",20 week follow-up,Grade 3,False,998,499,499,,,3.89,3.7,0.44,0.41,0.4,0.446444122786106,16,,9.54073708925307E-10,,,True,,Evidence Tier 3,Student,
30,50441,Character Education,204,Connect with Kids,None,266,Elementary school student survey: Part 1,Behavior,,Grades 3-5,False,24,13,11,13,11,3.92,3.75,0.61,0.63,0.27,0.265093053498453,11,,0.51640079171445,,,False,,,Student,
31,50441,Character Education,204,Connect with Kids,None,267,Elementary school student survey: Part 2,Behavior,,Grades 3-5,False,24,13,11,13,11,4.56,4.44,0.42,0.51,0.25,0.25019743721338,10,,0.547684109861472,,,False,,,Student,
